each,adj./pron./adv.,1
eager,adj.,3
eagle,n.,1
ear,n.,1
early,adj./adv.,1
earn,v.,2
earnest,adj./n.,4
earnings,n.,3
earphone,n.,4
earth,n.,1
earthquake,n.,2
ease,n./v.,1
east,n./adj./adv.,1
eastern,adj.,2
easy,adj.,1
eat,v.,1
ebb,n./v.,6
eccentric,adj./n.,6
echo,n./v.,3
eclipse,n./v.,5
ecology,n.,6
economic,adj.,4
economical,adj.,4
economics,n.,4
economist,n.,4
economy,n.,4
ecstasy,n.,6
edge,n./v.,1
edible,adj.,6
edit,v.,3
edition,n.,3
editor,n.,3
editorial,adj./n.,6
educate,v.,3
education,n.,2
educational,adj.,3
eel,n.,5
effect,n./v.,2
effective,adj.,2
efficiency,n.,4
efficient,adj.,3
effort,n.,2
egg,n.,1
ego,n.,5
eight,n./adj.,1
eighteen,n./adj.,1
eighty,n./adj.,1
either,adj./pron./conj.,1
either,adv.,1
elaborate,adj./v.,5
elastic,adj./n.,4
elbow,n./v.,3
elder,adj./n.,2
elderly,adj.,3
elect,v./adj.,2
election,n.,3
electric,adj.,3
electrical,adj.,3
electrician,n.,4
electricity,n.,3
electron,n.,6
electronic,adj.,3
electronics,n.,4
elegant,adj.,4
element,n.,2
elementary,adj.,4
elephant,n.,1
elevate,v.,5
elevator,n.,2
eleven,n./adj.,1
eligible,adj.,6
eliminate,v.,4
elite,n./adj.,6
eloquence,n.,6
eloquent,adj.,6
else,adv.,1
elsewhere,adv.,4
e-mail,n./v.,4
email,n./v.,4
embark,v.,6
embarrass,v./(n.),4
embarrassment,v./(n.),4
embassy,n.,4
embrace,v./n.,5
emerge,v.,4
emergency,n.,3
emigrant,n.,6
emigrate,v.,6
emigration,n.,6
emotion,n.,2
emotional,adj.,4
emperor,n.,3
emphasis,n.,4
emphasize,v.,3
emphatic,adj.,6
empire,n.,4
employ,v./(n.),3
employment,v./(n.),3
employee,n.,3
employer,n.,3
empty,adj./v.,3
enable,v.,3
enact,v./(n.),6
enactment,v./(n.),6
enclose,v.,4
enclosure,n.,6
encounter,v./n.,4
encourage,v./(n.),2
encouragement,v./(n.),2
encyclopedia,n.,6
end,n./v.,1
endanger,v.,4
endeavor,v./n.,5
ending,n.,2
endurance,n.,6
endure,v.,4
enemy,n.,2
energetic,adj.,3
energy,n.,2
enforce,v./(n.),4
enforcement,v./(n.),4
engage,v./(n.),3
engagement,v./(n.),3
engine,n.,3
engineer,n.,3
engineering,n.,4
English,n./adj.,1
enhance,v./(n.),6
enhancement,v./(n.),6
enjoy,v./(n.),2
enjoyment,v./(n.),2
enjoyable,adj.,3
enlarge,v./(n.),4
enlargement,v./(n.),4
enlighten,v./(n.),6
enlightenment,v./(n.),6
enormous,adj.,4
enough,adj./n./adv.,1
enrich,v./(n.),6
enrichment,v./(n.),6
enroll,v./(n.),5
enrollment,v./(n.),5
ensure,v.,5
insure,v.,5
enter,v.,1
enterprise,n.,5
entertain,v./(n.),4
entertainment,v./(n.),4
enthusiasm,n.,4
enthusiastic,adj.,5
entire,adj.,2
entitle,v.,5
entrance,n.,2
entry,n.,3
envelope,n.,2
envious,adj.,4
environment,n.,2
environmental,adj.,3
envy,n./v.,3
epidemic,n./adj.,6
episode,n.,6
EQ,n.,6
emotional quotient,n.,6
emotional intelligence,n.,6
equal,adj./n./v.,1
equality,n.,4
equate,v.,5
equation,n.,6
equip,v./(n.),4
equipment,v./(n.),4
equivalent,adj./n.,6
era,n.,4
erase,v.,3
eraser,n.,2
erect,adj./v.,5
erode,v.,6
errand,n.,4
error,n.,2
erupt,v.,5
eruption,n.,6
escalate,v.,6
escalator,n.,4
escape,v./n.,3
escort,n./v.,5
especially,adv.,2
essay,n.,4
essence,n.,6
essential,adj./n.,4
establish,v./(n.),4
establishment,v./(n.),4
estate,n.,5
esteem,v./n.,5
estimate,n./v.,4
eternal,adj.,5
eternity,n.,6
ethic,n.,5
ethics,n.,5
ethical,adj.,6
ethnic,adj./n.,6
evacuate,v.,6
evaluate,v.,4
evaluation,n.,4
eve,n.,4
even,adv.,1
even,adj./v.,1
evening,n.,1
event,n.,2
eventual,adj.,4
ever,adv.,1
evergreen,adj./n.,5
every,adj.,1
evidence,n./v.,4
evident,adj.,4
evil,adj./n.,3
evolution,n.,6
evolve,v.,6
exact,adj.,2
exaggerate,v.,4
exaggeration,n.,5
examination,n.,1
exam,n.,1
examine,v.,1
examinee,n.,4
examiner,n.,4
example,n.,1
exceed,v.,5
excel,v.,5
excellence,n.,3
excellent,adj.,2
except,v./prep.,1
excepting,v./prep.,1
exception,n.,4
exceptional,adj.,5
excerpt,n./v.,6
excess,n./adj.,5
excessive,adj.,6
exchange,n./v.,3
excite,v./(n.),2
excitement,v./(n.),2
exclaim,v.,5
exclude,v.,5
exclusive,adj.,6
excuse,n./v.,2
execute,v.,5
execution,n.,6
executive,n./adj.,5
exercise,n./v.,2
exert,v.,6
exhaust,n.,4
exhaust,v.,4
exhibit,v./n.,4
exhibition,n.,3
exile,n./v.,5
exist,v.,2
existence,n.,3
exit,n./v.,3
exotic,adj./n.,6
expand,v.,4
expansion,n.,4
expect,v.,2
expectation,n.,3
expedition,n.,6
expel,v.,6
expense,n.,3
expensive,adj.,2
experience,n./v.,2
experiment,n./v.,3
experimental,adj.,4
expert,n./adj.,2
expertise,n.,6
expiration,n.,6
expire,v.,6
explain,v.,2
explanation,n.,4
explicit,adj.,6
explode,v.,3
exploit,n./v.,6
exploration,n.,6
explore,v.,4
explosion,n.,4
explosive,adj./n.,4
export,v./n.,3
expose,v.,4
exposure,n.,4
express,v.,2
express,adj./adv./n.,0
expression,n.,3
expressive,adj.,3
exquisite,adj.,6
extend,v.,4
extension,n.,5
extensive,adj.,5
extent,n.,4
exterior,adj./n.,5
external,adj./n.,5
extinct,adj.,5
extra,adj./adv./n.,2
extract,v./n.,6
extracurricular,adj.,6
extraordinary,adj.,5
extreme,adj./n.,3
eye,n./v.,1
eyebrow,n.,2
brow,n.,2
eyelash,n.,5
lash,n.,5
eyelid,n.,5
eyesight,n.,6
