fable,n.,3
fabric,n.,5
fabulous,adj.,6
face,n./v.,1
facial,adj.,4
facilitate,v.,6
facility,n.,4
fact,n.,1
faction,n.,6
factor,n.,3
factory,n.,1
faculty,n.,6
fad,n.,5
fade,v.,3
Fahrenheit,n.,5
fail,v./n.,2
failure,n.,2
faint,adj./v./n.,3
fair,adj./adv.,2
fair,n.,2
fairly,adv.,3
fairy,n./adj.,3
faith,n.,3
faithful,adj.,4
fake,adj./n./v.,3
fall,v./n.,1
False,adj.,1
falter,v.,5
fame,n.,4
familiar,adj.,3
familiarity,n.,6
family,n.,1
famine,n.,6
famous,adj.,2
fan,n./v.,1
fan,n.,3
fanatic,n.,3
fancy,n./adj./v.,3
fantastic,adj.,4
fantasy,n.,4
far,adv./adj.,1
fare,n.,3
farewell,n.,4
farm,n./v.,1
farmer,n.,1
farther,adv./adj.,3
fascinate,v.,5
fascination,n.,6
fashion,n./v.,3
fashionable,adj.,3
fast,adj./adv.,1
fasten,v.,3
fat,adj./n.,1
fatal,adj.,4
fate,n.,3
father,n./v.,1
fatigue,n./v.,5
faucet,n.,3
tap,n.,3
fault,n./v.,2
favor,n./v.,2
favorable,adj.,4
favorite,adj./n.,2
fax,n./v.,3
fear,n./v.,1
fearful,adj.,2
feasible,adj.,6
feast,n./v.,4
feather,n.,3
feature,n./v.,3
February,n.,1
Feb.,n.,1
federal,adj.,5
federation,n.,6
fee,n.,2
feeble,adj.,5
feed,v./n.,1
feedback,n.,6
feel,v./n.,1
feeling,n.,1
feelings,n.,1
fellow,n.,2
female,adj./n.,2
feminine,adj./n.,5
fence,n./v.,2
ferry,n./v.,4
fertile,adj.,4
fertility,n.,6
fertilizer,n.,5
festival,n.,2
fetch,v./n.,4
fever,n.,2
few,adj./pron.,1
fianc?,n.,5
fianc?e,n.,5
fiber,n.,5
fiction,n.,4
fiddle,n./v.,5
fidelity,n.,6
field,n.,2
fierce,adj.,4
fifteen,n./adj.,1
fifty,n./adj.,1
fight,v./n.,1
fighter,n.,2
figure,n./v.,2
file,n./v.,3
fill,v./n.,1
film,n./v.,2
filter,n./v.,5
fin,n.,5
final,adj./n.,1
finance,n./v.,4
financial,adj.,4
find,v./n.,1
fine,adj./adv.,1
fine,n./v.,1
finger,n./v.,1
finish,v./n.,1
finite,adj.,6
fire,n./v.,1
fire,v.,1
firecracker,n.,4
fireman,n.,2
firewoman,n.,2
fireplace,n.,4
fireproof,adj.,6
firework,n.,3
firm,adj./adv./v.,2
first,adj./n./adv.,1
fish,n./v.,1
fisherman,n.,2
fishery,n.,5
fist,n./v.,3
fit,adj./v./n./adv.,2
five,n./adj.,1
fix,v./n.,2
flag,n./v.,2
flake,n./v.,5
flame,n./v.,3
flap,v./n.,5
flare,v./n.,6
flash,v./n.,2
flashlight,n.,2
flash,n.,2
flat,adj./adv./n./v.,2
flatter,v.,4
flavor,n./v.,3
flaw,n./v.,5
flea,n.,3
flee,v.,4
fleet,n.,6
flesh,n.,3
flexible,adj.,4
flick,n./v.,5
flicker,v./n.,6
flight,n.,2
fling,v./n.,6
flip,v./n.,5
float,v./n.,3
flock,n./v.,3
flood,n./v.,2
floor,n./v.,1
flour,n./v.,2
flourish,v./n.,5
flow,v./n.,2
flower,n./v.,1
flu,n.,2
fluency,n.,5
fluent,adj.,4
fluid,n./adj.,6
flunk,v./n.,4
flush,v./n.,4
flute,n./v.,2
flutter,v./n.,6
fly,n.,1
fly,v.,1
foam,n./v.,4
focus,n./v.,2
foe,n.,5
fog,n./v.,1
foggy,adj.,2
foil,n.,5
fold,v./n.,3
folk,n.,3
folklore,n.,5
follow,v.,1
follower,n.,3
following,prep./n./adj.,2
fond,adj.,3
food,n.,1
fool,n.,2
fool,v.,2
foolish,adj.,2
foot,n./v.,1
football,n.,2
for,prep./conj.,1
forbid,v.,4
force,n./v.,1
forecast,n./v.,4
forehead,n.,3
brow,n.,3
foreign,adj.,1
foreigner,n.,2
foresee,v.,6
forest,n.,1
forever,adv.,3
forget,v.,1
forgetful,adj.,5
forgive,v.,2
fork,n./v.,1
form,n./v.,2
formal,adj.,2
format,n./v.,5
formation,n.,4
former,adj.,2
formidable,adj.,6
formula,n.,4
formulate,v.,6
forsake,v.,6
fort,n.,4
forth,adv.,3
forthcoming,adj.,6
fortify,v.,6
fortunate,adj.,4
fortune,n.,3
forty,n./adj.,1
forward,adj./n./adv./v.,2
forward,adv.,2
forwards,adv.,2
fossil,n./adj.,4
foster,v./adj.,6
foul,adj./n./adv./v.,5
found,v.,3
foundation,n.,4
founder,n.,4
fountain,n.,3
four,n./adj.,1
fourteen,n./adj.,1
fowl,n.,5
fox,n.,2
fraction,n.,5
fracture,n./v.,6
fragile,adj.,6
fragment,n./v.,6
fragrance,n.,4
fragrant,adj.,4
frail,adj.,6
frame,n./v.,4
framework,n.,5
frank,adj.,2
frantic,adj.,5
fraud,n.,6
freak,n./v.,6
free,adj./adv./v.,1
freedom,n.,2
freeway,n.,4
freeze,v./n.,3
freezer,n.,2
freight,n./v.,5
frequency,n.,4
frequent,adj./v.,3
fresh,adj.,1
freshman,n.,4
fret,v.,6
friction,n.,6
Friday,n.,1
Fri.,n.,1
friend,n.,1
friendly,adj.,2
friendship,n.,3
fright,n.,2
frighten,v.,2
frog,n.,1
from,prep.,1
front,n./adj./v.,1
frontier,n.,5
frost,n./v.,4
frown,v./n.,4
fruit,n./v.,1
frustrate,v.,3
frustration,n.,4
fry,v./n.,3
fuel,n./v.,4
fulfill,v./(n.),4
fulfillment,v./(n.),4
full,adj.,1
fume,n./v.,5
fun,n.,1
function,n./v.,2
functional,adj.,4
fund,n./v.,3
fundamental,adj./n.,4
funeral,n.,4
funny,adj.,1
fur,n.,3
furious,adj.,4
furnish,v.,4
furniture,n.,3
further,adv./adj./v.,2
furthermore,adv.,4
fury,n.,5
fuse,v./n.,5
fuss,n./v.,5
future,n./adj.,2
