habit,n.,2
habitat,n.,6
habitual,adj.,4
hack,v.,6
hacker,n.,6
hail,n./v.,5
hail,v./n.,6
hair,n.,1
haircut,n.,1
hairdresser,n.,3
hairstyle,n.,5
hairdo,n.,5
half,n./adj./adv.,1
hall,n.,2
hallway,n.,3
halt,v./n.,4
ham,n.,1
hamburger,n.,2
burger,n.,2
hammer,n./v.,2
hand,n./v.,1
handful,n.,3
handicap,n./v.,5
handicraft,n.,5
handkerchief,n.,2
handle,n.,2
handle,v.,2
handsome,adj.,2
handwriting,n.,4
handy,adj.,3
hang,v.,2
hanger,n.,2
happen,v.,1
happy,adj.,1
harass,v./(n.),6
harassment,v./(n.),6
harbor,n./v.,3
hard,adj./adv.,1
harden,v.,4
hardly,adv.,2
hardship,n.,4
hardware,n.,4
hardy,adj.,5
harm,n./v.,3
harmful,adj.,3
harmonica,n.,4
harmony,n.,4
harness,n./v.,5
harsh,adj.,4
harvest,n./v.,3
haste,n.,4
hasten,v.,4
hasty,adj.,3
hat,n.,1
hatch,v./n.,3
hate,v./n.,1
hateful,adj.,2
hatred,n.,4
haul,v./n.,5
haunt,v./n.,5
have,v./aux.,1
hawk,n.,3
hay,n.,3
hazard,n./v.,6
he,pron.,1
head,n./v.,1
headline,n./v.,3
headphone,n.,4
headphones,n.,4
headquarters,n.,3
heal,v.,3
health,n.,1
healthful,adj.,4
healthy,adj.,2
heap,n./v.,3
hear,v.,1
heart,n.,1
hearty,adj.,5
heat,n./v.,1
heater,n.,2
heaven,n.,3
heavenly,adj.,5
heavy,adj.,1
hedge,n./v.,5
heed,v./n.,5
heel,n./v.,3
height,n.,2
heighten,v.,5
heir,n.,5
helicopter,n.,4
hell,n.,3
hello,n.,1
helmet,n.,3
help,v./n.,1
helpful,adj.,2
hemisphere,n.,6
hen,n.,2
hence,adv.,5
her,pron.,1
hers,pron.,1
herald,n./v.,5
herb,n.,5
herd,n./v.,4
here,adv./n.,1
hereafter,adv./n.,6
heritage,n.,6
hermit,n.,5
hero,n.,2
heroine,n.,2
heroic,adj./n.,5
heroin,n.,6
hesitate,v.,3
hesitation,n.,4
heterosexual,adj./n.,5
hide,v.,2
hi-fi,n.,5
high fidelity,n.,5
high,adj./n./adv.,1
highlight,n./v.,6
highly,adv.,4
highway,n.,2
hijack,v./n.,5
hike,n./v.,3
hill,n.,1
him,pron.,1
hint,n./v.,3
hip,n.,2
hippopotamus,n.,2
hippo,n.,2
hire,v./n.,2
his,pron.,1
hiss,v./n.,5
historian,n.,3
historic,adj.,3
historical,adj.,3
history,n.,1
hit,v./n.,1
hive,n.,3
hoarse,adj.,5
hobby,n.,2
hockey,n.,5
hold,v./n.,1
holder,n.,2
hole,n./v.,1
holiday,n.,1
hollow,adj./n./v.,3
holy,adj.,3
home,n./adj./adv./v.,1
homeland,n.,4
homesick,adj.,2
hometown,n.,3
homework,n.,1
homosexual,adj./n.,5
honest,adj.,2
honesty,n.,3
honey,n.,2
honeymoon,n./v.,4
honk,n./v.,5
honor,n./v.,3
honorable,adj.,4
honorary,adj.,6
hood,n./v.,5
hoof,n.,5
hook,n./v.,4
hop,v./n.,2
hope,v./n.,1
hopeful,adj.,4
horizon,n.,4
horizontal,adj./n.,5
hormone,n.,6
horn,n.,3
horrible,adj.,3
horrify,v.,4
horror,n.,3
horse,n.,1
hose,n./v.,4
hospitable,adj.,6
hospital,n.,2
hospitality,n.,6
hospitalize,v.,6
host,n.,2
hostess,n.,2
host,v.,4
hostage,n.,5
hostel,n.,4
hostile,adj.,5
hostility,n.,6
hot,adj.,1
hotel,n.,2
hound,n./v.,5
hour,n.,1
hourly,adj./adv.,3
house,n./v.,1
household,n.,4
housekeeper,n.,3
housewife,n.,4
housework,n.,4
housing,n.,5
hover,v./n.,5
how,adv.,1
however,adv.,2
howl,n./v.,5
hug,v./n.,3
huge,adj.,1
hum,v./n.,2
human,adj./n.,1
humanitarian,n./adj.,6
humanity,n.,4
humble,adj./v.,2
humid,adj.,2
humidity,n.,4
humiliate,v.,6
humor,n.,2
humorous,adj.,3
hunch,v./n.,6
hundred,n./adj.,1
hunger,n.,2
hungry,adj.,1
hunt,v./n.,2
hunter,n.,2
hurdle,n./v.,6
hurl,v./n.,5
hurricane,n.,4
hurry,v./n.,2
hurt,v./n.,1
husband,n.,1
hush,v./n.,3
hut,n.,3
hydrogen,n.,4
hygiene,n.,6
hymn,n./v.,5
hypocrisy,n.,6
hypocrite,n.,6
hysterical,adj.,6
