I,pron.,1
ice,n.,1
iceberg,n.,4
icy,adj.,3
idea,n.,1
ideal,adj./n.,3
identical,adj.,4
identification,n.,4
ID,n.,4
identify,v.,4
identity,n.,3
idiom,n.,4
idiot,n.,5
idle,adj./v.,4
idol,n.,4
if,conj.,1
ignorance,n.,3
ignorant,adj.,4
ignore,v.,2
ill,adj./adv./n.,2
illuminate,v.,6
illusion,n.,6
illustrate,v.,4
illustration,n.,4
image,n.,3
imaginable,adj.,4
imaginary,adj.,4
imagination,n.,3
imaginative,adj.,4
imagine,v.,2
imitate,v.,4
imitation,n.,4
immediate,adj.,3
immense,adj.,5
immigrant,n.,4
immigrate,v.,4
immigration,n.,4
immune,adj.,6
impact,n./v.,4
imperative,adj./n.,6
imperial,adj.,5
implement,n./v.,6
implication,n.,6
implicit,adj.,6
imply,v.,4
import,v./n.,3
importance,n.,2
important,adj.,1
impose,v.,5
imposing,adj.,6
impress,v.,3
impression,n.,4
impressive,adj.,3
imprison,v./(n.),6
imprisonment,v./(n.),6
improve,v./(n.),2
improvement,v./(n.),2
impulse,n.,5
in,prep./adv./adj.,1
incense,n./v.,5
incentive,n./adj.,6
inch,n./v.,1
incident,n.,4
incidental,adj.,6
incline,v./n.,6
include,v.,2
including,prep.,4
inclusive,adj.,6
income,n.,2
increase,v./n.,2
indeed,adv.,3
independence,n.,2
independent,adj.,2
index,n./v.,5
indicate,v.,2
indication,n.,4
indifference,n.,5
indifferent,adj.,5
indignant,adj.,5
indignation,n.,6
indispensable,adj.,5
individual,adj./n.,3
indoor,adj.,3
indoors,adv.,3
induce,v.,5
indulge,v.,5
industrial,adj.,3
industrialize,v.,4
industry,n.,2
inevitable,adj.,6
infant,n.,4
infect,v.,4
infection,n.,4
infectious,adj.,6
infer,v.,6
inference,n.,6
inferior,adj./n.,3
infinite,adj.,5
inflation,n.,4
influence,n./v.,2
influential,adj.,4
inform,v.,3
information,n.,4
informative,adj.,4
ingenious,adj.,6
ingenuity,n.,6
ingredient,n.,4
inhabit,v.,6
inhabitant,n.,6
inherent,adj.,6
inherit,v.,5
initial,adj.,4
initial,n./v.,4
initiate,v./n./adj.,5
initiative,n./adj.,6
inject,v.,6
injection,n.,6
injure,v.,3
injury,n.,3
injustice,n.,6
ink,n./v.,2
inland,adj./n./adv.,5
inn,n.,3
inner,adj.,3
innocence,n.,4
innocent,adj.,3
innovation,n.,6
innovative,adj.,6
innumerable,adj.,5
input,n./v.,4
inquire,v.,5
inquiry,n.,6
insect,n.,2
insert,v./n.,4
inside,n./adj./adv./prep.,1
insight,n.,6
insist,v.,2
insistence,n.,6
inspect,v.,3
inspection,n.,4
inspector,n.,3
inspiration,n.,4
inspire,v.,4
install,v.,4
installation,n.,6
installment,n.,6
instance,n./v.,2
instant,adj./n.,2
instead,adv.,3
instinct,n.,4
institute,n./v.,5
institution,n.,6
instruct,v.,4
instruction,n.,3
instructor,n.,4
instrument,n.,2
insult,v./n.,4
insurance,n.,4
insure,v.,5
intact,adj.,6
integrate,v.,6
integration,n.,6
integrity,n.,6
intellect,n.,6
intellectual,adj./n.,4
intelligence,n.,4
intelligent,adj.,4
intend,v.,4
intense,adj.,4
intensify,v.,4
intensity,n.,4
intensive,adj.,4
intent,n./adj.,5
intention,n.,4
interact,v.,4
interaction,n.,4
interest,n./v.,1
interfere,v.,4
interference,n.,5
interior,adj./n.,5
intermediate,adj./n./v.,4
internal,adj.,3
international,adj.,2
Internet,n.,4
internet,n.,4
interpret,v.,4
interpretation,n.,5
interpreter,n.,5
interrupt,v.,3
interruption,n.,4
intersection,n.,6
interval,n.,6
intervene,v.,6
intervention,n.,6
interview,n./v.,2
intimacy,n.,6
intimate,adj./n.,4
intimidate,v.,6
into,prep.,1
intonation,n.,4
introduce,v.,2
introduction,n.,3
intrude,v.,6
intruder,n.,6
intuition,n.,5
invade,v.,4
invaluable,adj.,6
invasion,n.,4
invent,v.,2
invention,n.,4
inventor,n.,3
inventory,n./v.,6
invest,v./(n.),4
investment,v./(n.),4
investigate,v.,3
investigation,n.,4
investigator,n.,6
invitation,n.,2
invite,v./n.,2
involve,v./(n.),4
involvement,v./(n.),4
inward,adj./adv.,5
inward,adv.,5
inwards,adv.,5
IQ,n.,6
intelligence,n.,6
quotient,n.,6
iron,n./adj./v.,1
ironic,adj.,6
irony,n.,6
irritable,adj.,6
irritate,v.,6
irritation,n.,6
is,v.,1
island,n.,2
isle,n.,5
isolate,v.,4
isolation,n.,4
issue,n./v.,5
it,pron.,1
itch,v./n.,4
item,n.,2
its,pron.,1
ivory,n./adj.,3
ivy,n.,5
