label,n./v.,3
labor,n./v.,4
laboratory,n.,4
lab,n.,4
lace,n./v.,3
lack,n./v.,1
lad,n.,5
ladder,n.,3
lady,n.,1
ladybug,n.,2
ladybird,n.,2
lag,v./n.,4
lake,n.,1
lamb,n./v.,1
lame,adj./v.,5
lament,n./v.,6
lamp,n.,1
land,n.,1
land,v.,1
landlady,n.,5
landlord,n.,5
landmark,n.,4
landscape,n./v.,4
landslide,n.,4
mudslide,n.,4
lane,n.,2
language,n.,2
lantern,n.,2
lap,n.,2
large,adj.,1
largely,adv.,4
laser,n.,5
last,adj./adv./n.,1
last,v.,1
late,adj./adv.,1
lately,adv.,4
latest,adj.,2
latitude,n.,5
latter,adj.,3
laugh,v./n.,1
laughter,n.,3
launch,v./n.,4
laundry,n.,3
lava,n.,6
law,n.,1
lawful,adj.,4
lawmaker,n.,5
lawn,n.,3
lawyer,n.,2
lay,v.,1
layer,n./v.,5
layman,n.,6
layout,n.,6
lazy,adj.,1
LCD,n.,6
liquid crystal display,n.,6
lead,v./n.,1
lead,n.,4
leader,n.,1
leadership,n.,2
leaf,n./v.,1
league,n./v.,5
leak,v./n.,3
lean,v.,4
lean,adj.,4
leap,v./n.,3
learn,v.,1
learned,adj.,4
learning,n.,4
least,adj./pron./adv.,1
leather,n.,3
leave,v./n.,1
lecture,n./v.,4
lecturer,n.,4
left,adj./adv./n.,1
leg,n.,1
legal,adj.,2
legend,n.,4
legendary,adj.,6
legislation,n.,5
legislative,adj.,6
legislator,n.,6
legislature,n.,6
legitimate,adj./v.,6
leisure,n.,3
leisurely,adj./adv.,4
lemon,n.,2
lemonade,n.,2
lend,v.,2
length,n.,2
lengthen,v.,3
lengthy,adj.,6
lens,n.,3
leopard,n.,2
less,adj./adv./pron./prep.,1
lessen,v.,5
lesson,n.,1
lest,conj.,5
let,v.,1
letter,n.,1
letter,n.,1
lettuce,n.,2
level,n./adj.,1
liable,adj.,6
liar,n.,3
liberal,adj.,3
liberate,v.,6
liberation,n.,6
liberty,n.,3
librarian,n.,3
library,n.,2
license,n./v.,4
lick,v./n.,2
lid,n.,2
lie,n./v.,1
lieutenant,n.,5
life,n.,1
lifeboat,n.,3
lifeguard,n.,3
lifelong,adj.,5
lifetime,n.,3
lift,v./n.,1
light,n./v./adj.,1
light,adj./adv.,1
lighten,v.,4
lighthouse,n.,3
lightning,n.,2
like,prep.,1
like,v./n.,1
likelihood,n.,5
likely,adj./adv.,1
likewise,adv.,6
lily,n.,1
limb,n.,3
lime,n./v.,5
limit,n./v.,2
limitation,n.,4
limousine,n.,6
limo,n.,6
limp,v./n.,5
line,n./v.,1
linen,n.,3
liner,n.,6
linger,v.,5
linguist,n.,6
link,n./v.,2
lion,n.,1
lip,n.,1
lipstick,n.,3
liquid,n.,2
liquor,n.,4
list,n./v.,1
listen,v.,1
listener,n.,2
liter,n.,6
literacy,n.,6
literal,adj.,6
literary,adj.,4
literate,adj./n.,6
literature,n.,4
litter,n./v.,3
little,adj./adv./n.,1
live,adj.,1
live,v.,1
lively,adj.,3
liver,n.,3
livestock,n.,5
lizard,n.,5
load,n./v.,3
loaf,n.,2
loan,n./v.,4
lobby,n.,3
lobster,n.,3
local,adj./n.,2
locate,v.,2
location,n.,4
lock,n./v.,2
locker,n.,4
locomotive,n./adj.,5
locust,n.,5
lodge,n./v.,5
lofty,adj.,5
log,n./v.,2
logic,n.,4
logical,adj.,4
logo,n.,5
lollipop,n.,3
lone,adj.,2
lonely,adj.,2
lonesome,adj.,5
long,adj./adv.,1
long,v.,1
longevity,n.,6
longitude,n.,5
look,v./n.,1
loose,adj.,3
loosen,v.,3
lord,n.,3
lose,v.,2
loser,n.,2
loss,n.,2
lot,n.,1
lotion,n.,4
lotus,n.,5
lottery,n.,5
loud,adj./adv.,1
loudspeaker,n.,3
lounge,v./n.,6
lousy,adj.,4
love,n./v.,1
lovely,adj.,2
lover,n.,2
low,adj./n./adv.,1
lower,v.,2
loyal,adj.,4
loyalty,n.,4
luck,n.,2
lucky,adj.,1
luggage,n.,3
lullaby,n./v.,3
lumber,n./v.,5
lump,n./v.,5
lunar,adj.,4
lunatic,n./adj.,6
lunch,n./v.,1
luncheon,n./v.,1
lung,n.,3
lure,v./n.,6
lush,adj.,6
luxurious,adj.,4
luxury,n.,4
lyric,adj./n.,6
