machine,n./v.,1
machinery,n.,4
mad,adj.,1
madam,n.,4
ma¡¦am,n.,4
magazine,n.,2
magic,n./adj.,2
magical,adj.,3
magician,n.,2
magnet,n.,3
magnetic,adj.,4
magnificent,adj.,4
magnify,v.,5
magnitude,n.,6
maid,n.,3
maiden,n./adj.,5
mail,n./v.,1
main,adj./n.,2
mainland,n.,5
mainstream,n.,5
maintain,v.,2
maintenance,n.,5
majestic,adj.,5
majesty,n.,5
major,adj./n./v.,3
majority,n.,3
make,v.,1
makeup,n.,4
makeup,n.,4
malaria,n.,6
male,adj./n.,2
mall,n.,3
mammal,n.,5
man,n./v.,1
manage,v./(n.),3
management,v./(n.),3
manageable,adj.,3
manager,n.,3
Mandarin,n.,2
mango,n.,2
manifest,v./adj.,5
manipulate,v.,6
mankind,n.,3
humankind,n.,3
manner,n.,2
manners,n.,3
mansion,n.,5
manual,adj./n.,4
manufacture,v./n.,4
manufacturer,n.,4
manuscript,n.,6
many,adj./pron.,1
map,n./v.,1
maple,n.,5
mar,v.,6
marathon,n.,4
marble,n.,3
March,n.,1
Mar.,n.,1
march,v./n.,3
margin,n.,4
marginal,adj.,5
marine,adj./n.,5
mark,v./n.,2
market,n./v.,1
marriage,n.,2
marry,v.,1
marshal,n.,5
martial,adj.,5
marvel,n./v.,5
marvelous,adj.,3
masculine,adj./n.,5
mash,n./v.,5
mask,n./v.,2
mass,n.,2
massacre,n./v.,6
massage,n./v.,5
massive,adj.,5
master,n.,1
master,v.,1
masterpiece,n.,5
mastery,n.,6
mat,n.,2
match,n.,1
match,n./v.,2
mate,n./v.,2
material,n.,2
material,n.,6
materialism,n.,6
mathematical,adj.,3
mathematics,n.,3
math,n.,3
matter,n.,1
matter,v.,1
mattress,n.,6
mature,adj.,3
maturity,n.,4
maximum,n./adj.,4
May,n.,1
may,v.(aux.),1
maybe,adv.,1
mayonnaise,n.,5
mayor,n.,3
me,pron.,1
meadow,n.,3
meal,n.,2
mean,v.,1
mean,adj.,1
meaning,n.,2
meaningful,adj.,3
means,n.,2
meantime,adv./n.,5
meanwhile,adv./n.,3
measurable,adj.,2
measure,v./(n.),2
measurement,v./(n.),2
measure,n.,4
measures,n.,4
meat,n.,1
mechanic,n.,4
mechanical,adj.,4
mechanics,n.,5
mechanism,n.,6
medal,n.,3
mediate,v.,5
medical,adj.,3
medication,n.,6
medicine,n.,2
medieval,adj.,6
meditate,v.,6
meditation,n.,6
medium,n.,3
media,n.,3
meet,v./n.,1
meeting,n.,2
melancholy,n./adj.,6
mellow,adj./v.,6
melody,n.,2
melon,n.,2
melt,v.,3
member,n.,2
membership,n.,3
memorable,adj.,4
memorial,adj./n.,4
memorize,v.,3
memory,n.,2
menace,n./v.,5
mend,v.,3
mental,adj.,3
mentality,n.,6
mention,v./n.,3
menu,n.,2
merchandise,n./v.,6
merchant,n.,3
mercy,n.,4
mere,adj.,4
merge,v.,6
merit,n.,4
mermaid,n.,5
merry,adj.,3
mess,n./v.,3
message,n.,2
messenger,n.,4
messy,adj.,4
metal,n./adj.,2
metaphor,n.,6
meter,n.,2
method,n.,2
metropolitan,adj./n.,6
microphone,n.,3
mike,n.,3
microscope,n.,4
microwave,n./v.,3
middle,adj./n./v.,1
midst,prep./n.,5
might,n.,3
mighty,adj.,3
migrant,adj./n.,5
migrate,v.,6
migration,n.,6
mild,adj.,4
mile,n.,1
mileage,n.,5
milestone,n.,5
militant,adj./n.,6
military,adj./n.,2
milk,n./v.,1
mill,n./v.,3
miller,n.,6
million,n.,2
millionaire,n.,3
mimic,v./n.,6
mind,n./v.,1
mine,n./v.,2
mine,pron.,2
miner,n.,3
mineral,n.,4
mingle,v.,5
miniature,adj./n./v.,6
minimal,adj.,5
minimize,v.,6
minimum,n./adj.,4
minister,n.,4
ministry,n.,4
minor,adj./n.,3
minority,n.,3
mint,n.,5
minus,prep./n./adj.,2
minute,n.,1
miracle,n.,3
miraculous,adj.,6
mirror,n./v.,2
mischief,n.,4
mischievous,adj.,6
miser,n.,5
miserable,adj.,4
misery,n.,3
misfortune,n.,4
mislead,v.,4
Miss,n.,1
miss,n.,1
miss,v.,1
missile,n.,3
missing,adj.,3
mission,n.,3
missionary,adj./n.,6
mist,n./v.,3
mistake,n./v.,1
mistress,n.,5
misunderstand,v.,4
mix,v./n.,2
mixture,n.,3
moan,n./v.,5
mob,n./v.,3
mobile,adj.,3
mobilize,v.,6
mock,v./adj./n.,5
mode,n.,5
model,n./v.,2
moderate,adj.,4
modern,adj.,2
modernization,n.,6
modernize,v.,5
modest,adj.,4
modesty,n.,4
modify,v.,5
moist,adj.,3
moisture,n.,3
mold,n./v.,6
mold,n.,5
molecule,n.,5
moment,n.,1
momentum,n.,6
mommy,n.,1
momma,n.,1
mom,n.,1
mam,n.,1
ma,n.,1
ma,n.,1
mummy,n.,1
monarch,n.,5
Monday,n.,1
Mon.,n.,1
money,n.,1
monitor,n./v.,4
monk,n.,3
monkey,n.,1
monopoly,n.,6
monotonous,adj.,6
monotony,n.,6
monster,n.,2
monstrous,adj.,5
month,n.,1
monthly,adj./adv./n.,4
monument,n.,4
mood,n.,3
moon,n.,1
mop,n./v.,3
moral,adj./n.,3
morale,n.,6
morality,n.,6
more,adj./pron./adv.,1
moreover,adv.,4
morning,n.,1
mortal,adj./n.,5
mosquito,n.,2
moss,n./v.,5
most,adj./pron./adv.,1
mostly,adv.,4
motel,n.,3
moth,n.,2
mother,n./v.,1
motherhood,n.,5
motion,n./v.,2
motivate,v.,4
motivation,n.,4
motive,n.,5
motor,n.,3
motorcycle,n.,2
motto,n.,6
mound,n./v.,5
mount,v./n.,5
mountain,n.,1
mountainous,adj.,4
mourn,v.,5
mournful,adj.,6
mouse,n.,1
mouth,n./v.,1
mouthpiece,n.,6
mouthpiece,n.,6
spokesperson,n.,6
spokesperson,n.,6
spokesperson,n.,6
spokesman,n.,6
spokeswoman,n.,6
movable,adj.,2
move,v./(n.),1
movement,v./(n.),1
movie,n.,1
motion picture,n.,1
film,n.,1
cinema,n.,1
mow,v.,4
mower,n.,5
Mr.,n.,1
mister,n.,1
Mrs.,n.,1
MRT,n.,2
mass rapid transit,n.,2
subway,n.,2
underground,n.,2
metro,n.,2
Ms.,n.,1
MTV,n.,4
music television,n.,4
much,adj./pron./adv.,1
mud,n.,1
muddy,adj.,4
mug,n.,1
mule,n.,2
multiple,adj.,4
multiply,v.,2
mumble,v./n.,5
municipal,adj.,6
murder,n./v.,3
murderer,n.,4
murmur,v./n.,4
muscle,n.,3
muscular,adj.,5
muse,n.,5
museum,n.,2
mushroom,n./v.,3
music,n.,1
musical,adj./n.,3
musician,n.,2
must,v.(aux.)/n.,1
mustache,n.,4
mustard,n.,5
mute,adj./n./v.,6
mutter,v./n.,5
mutton,n.,5
mutual,adj.,4
my,pron.,1
mysterious,adj.,4
mystery,n.,3
myth,n.,5
mythology,n.,6
