ugly,adj.,2
ulcer,n.,6
ultimate,adj./n.,6
umbrella,n.,2
umpire,n./v.,5
unanimous,adj.,6
uncle,n.,1
uncover,v.,6
under,prep./adv.,1
underestimate,v./n.,6
undergo,v.,6
undergraduate,n.,5
underline,v./n.,5
undermine,v.,6
underneath,prep./adv./n./adj.,5
underpass,n.,4
understand,v.,1
understandable,adj.,5
undertake,v.,6
underwear,n.,2
undo,v.,6
undoubtedly,adv.,5
unemployment,n.,6
unfold,v.,6
uniform,adj./n./v.,2
unify,v.,6
union,n.,3
unique,adj./n.,4
unit,n.,1
unite,v.,3
unity,n.,3
universal,adj./n.,4
universe,n.,3
university,n.,4
unless,conj.,3
unlock,v.,6
unpack,v.,6
until,prep./conj.,1
till,prep./conj.,1
up,adv./prep./adj./n./v.,1
upbringing,n.,6
update,v./n.,5
upgrade,v./n.,6
uphold,v.,6
upload,v.,4
upon,prep.,2
upper,adj.,2
upright,adj./adv./n.,5
upset,v./n./adj.,3
upstairs,adv./adj./n.,1
upward,adj.,5
upward,adv.,5
upwards,adv.,5
uranium,n.,6
urban,adj.,4
urge,v./n.,4
urgency,n.,6
urgent,adj.,4
urine,n.,6
us,pron.,1
usage,n.,4
use,v./n.,1
used,adj.,2
usedto,v.(aux.),2
usedto,adj.,2
useful,adj.,1
user,n.,2
usher,n./v.,6
usual,adj.,2
utensil,n.,6
utility,n.,6
utilize,v.,6
utmost,adj./n.,6
utter,adj./v.,5
