wade,v./n.,5
wag,v./n.,3
wage,n.,3
wages,n.,3
wagon,n.,3
wail,n./v.,5
waist,n.,2
wait,v./n.,1
waiter,n.,2
waitress,n.,2
wake,v.,2
waken,v.,3
walk,v./n.,1
wall,n./v.,1
wallet,n.,2
walnut,n.,4
wander,v./n.,3
want,v./n.,1
war,n./v.,1
ward,n.,5
ward,v.,5
wardrobe,n.,6
ware,n.,5
warehouse,n./v.,5
warfare,n.,6
warm,adj./v./n.,1
warmth,n.,3
warn,v.,3
warranty,n.,6
warrior,n.,5
wary,adj.,5
wash,v./n.,1
waste,v./n.,1
watch,n.,1
watch,v./n.,1
water,n./v.,1
waterfall,n.,2
watermelon,n.,2
waterproof,adj./v.,6
watertight,adj./v.,6
wave,n./v.,2
wax,n./v.,3
way,n.,1
we,pron.,1
weak,adj.,1
weaken,v.,3
wealth,n.,3
wealthy,adj.,3
weapon,n.,2
wear,v./n.,1
weary,adj./v.,5
weather,n./v.,1
weave,v./n.,3
web,n./v.,3
website,n.,4
wed,v.,2
wedding,n.,1
Wednesday,n.,1
Wed.,n.,1
Weds.,n.,1
weed,n./v.,3
week,n.,1
weekday,n.,2
weekend,n./v.,1
weekly,adj./adv./n.,4
weep,v./n.,3
weigh,v.,1
weight,n.,1
weird,adj.,5
welcome,v./adj./n.,1
welfare,n.,4
well,adj./adv.,1
well,n.,1
west,n./adj./adv.,1
western,adj./n.,2
wet,adj./v.,2
whale,n.,2
wharf,n./v.,5
what,pron./adj.,1
whatever,adj./pron.,2
whatsoever,adj./pron.,6
wheat,n.,3
wheel,n./v.,2
wheelchair,n.,5
when,adv./pron./conj.,1
whenever,conj./adv.,2
where,adv./conj./pron./n.,1
whereabouts,adv./n.,5
whereas,conj.,5
wherever,adv./conj.,2
whether,conj.,1
which,pron./adj.,1
while,conj.,1
while,n.,1
while,v.,1
whine,n./v.,5
whip,n./v.,3
whirl,v./n.,5
whisk,v./n.,5
whiskey,n.,5
whisky,n.,5
whisper,v./n.,2
whistle,n./v.,3
white,adj./n.,1
who,pron.,1
whoever,pron.,2
whole,adj./n.,1
wholesale,n./adj./adv./v.,5
wholesome,adj.,5
whom,pron.,1
whose,pron.,1
why,adv./n.,1
wicked,adj.,3
wide,adj./adv./n.,1
widen,v.,2
widespread,adj.,5
widow,n./v.,5
widower,n./v.,5
width,n.,2
wife,n.,1
wig,n.,5
wild,adj./adv./n.,2
wilderness,n.,5
wildlife,n.,5
will,n.,1
will,v.(aux.),1
willing,adj.,2
willow,n.,3
win,v./n.,1
wind,n.,1
wind,v.,1
window,n.,1
windshield,n.,6
windy,adj.,2
wine,n./v.,1
wing,n./v.,2
wink,v./n.,3
winner,n.,2
winter,n.,1
wipe,v./n.,3
wire,n./v.,2
wisdom,n.,3
wise,adj.,2
wish,v./n.,1
wit,n.,4
witch,n.,4
wizard,n.,4
with,prep.,1
withdraw,v.,4
wither,v.,5
within,prep./adv.,2
without,prep./adv.,2
withstand,v.,6
witness,n./v.,4
witty,adj.,6
woe,n.,5
wolf,n.,2
woman,n.,1
wonder,n./v.,2
wonderful,adj.,2
woo,v.,6
wood,n.,1
woods,n.,1
wooden,adj.,2
woodpecker,n.,5
wool,n.,2
word,n./v.,1
work,v./n.,1
worker,n.,1
workshop,n.,5
world,n.,1
worm,n./v.,1
worry,v./n.,1
worse,adj./adv./n.,1
worship,n./v.,5
worst,adj./adv./n./v.,1
worth,adj./n.,2
worthwhile,adj.,5
worthy,adj.,5
wound,n./v.,2
wrap,v./n.,3
wreath,n.,5
wreck,n./v.,4
wrench,n./v.,6
wrestle,n./v.,6
wring,v./n.,5
wrinkle,n./v.,4
wrist,n.,3
write,v.,1
writer,n.,1
wrong,adj./adv./n./v.,1
